questions,answers,contexts
What was the percentage growth in AUM for Schroders Wealth Management from 2021 to 2022?,The percentage growth in AUM for Schroders Wealth Management from 2021 to 2022 was 35% to 53%.,"According to the strategic report, Schroders Wealth Management has grown from 35% of AUM to 53% of AUM."
What is the total amount of assets under management (AUM) for Schroders Investment Management?,£347.6bn,"Schroders Annual Report and Accounts 2022, page 22"
What is the primary objective of Schroders' strategy?,"The primary objective of Schroders' strategy is to deliver value to its clients by integrating ESG factors across its portfolios, leveraging its global presence, and building closer relations with end clients, while maintaining a resilient position during challenging market conditions.",Chair’s statement
How did Schroders perform in 2022?,"Schroders' financial performance was affected by the challenging market conditions in 2022, with operating profit decreasing to £723.0 million from £841.0 million in 2021, and profit before tax decreasing to £586.9 million from £764.1 million in 2021. However, the company's assets under management ended the year at £737.5 billion, principally due to lower bond and equity markets.",Chair’s statement
What is Schroders' approach to sustainability?,Schroders sees sustainability as integral to each of its strategic pillars and aims to become a leader in this field. The company has been increasingly taking advantage of technological innovation to enhance its offering to clients and maintain cost discipline.,Chair’s statement
What is Schroders' objective for its dividend payout ratio?,"Schroders' objective is to provide shareholders with a progressive and sustainable dividend, targeting a payout ratio of around 50%.","The Board recommends a final dividend of 15.0 pence per share, bringing the total dividend for the year to 21.5 pence per share. This represents a payout ratio of 57%. (Schroders Annual Report and Accounts 2022, page 6)"
What was the total dividend per share for Schroders in 2022?,21.5 pence per share,"The Board recommends a final dividend of 15.0 pence per share, bringing the total dividend for the year to 21.5 pence per share."
What was Schroders' payout ratio in 2022?,57%,This represents a payout ratio  of 57%.
How much did Schroders' revenues increase in 2022?,1%,"Our core business performance is reflected in our net operating revenue excluding performance fees and net carried interest figure. This increased 1% to £2,301.9 million, despite the challenging market backdrop in 2022."
What was Schroders' operating profit in 2022?,£723.0 million,"Our operating profit was lower than last year’s record high, ending the year at £723.0 million."
How much did Schroders' net new business (NNB) increase in 2022?,£8.4 billion,"At the half year we generated net new business (NNB) of £8.4 billion and saw NNB  [ redundant, please remove this question]"
